"id_reporte";"sensor_id";"nombre_sensor";"tipo_reporte";"anomalylevel";"vibrationpercentage";"goodvibration";"nbalarmreport";"temperature";"reportid";"vibrationlevel";"peakfrequencyindex";"batterypercentage";"operatingtime";"learningpercentage";"learningfromscratch";"fft";"reportlength";"rssi";"badvibrationpercentage1020";"badvibrationpercentage2040";"badvibrationpercentage4060";"badvibrationpercentage6080";"badvibrationpercentage80100";"anomalylevelto20last24h";"anomalylevelto50last24h";"anomalylevelto80last24h";"anomalylevelto20last30d";"anomalylevelto50last30d";"anomalylevelto80last30d";"anomalylevelto20last6mo";"anomalylevelto50last6mo";"anomalylevelto80last6mo";"totaloperatingtimeknown";"totalunknown1020";"totalunknown2040";"totalunknown4060";"totalunknown6080";"totalunknown80100";"state";"created_at";"updated_at";"deleted_at"
1;11;"KX";"alarm";"22";"";"";"";"29";"";"0.0564";"";"";"";"";"";"";"";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 16:42:46";"";""
2;11;"KX";"alarm";"22";"";"";"";"29";"";"0.0564";"";"";"";"";"";"[0.0564, 0.007993700787401574, 0.012878740157480317, 0.012878740157480317, 0.007105511811023622, 0.012878740157480317, 0.020872440944881887, 0.021316535433070865, 0.019096062992125983, 0.01820787401574803, 0.013322834645669293, 0.009325984251968502, 0.007549606299212599, 0.005329133858267716, 0.003996850393700787, 0.003996850393700787, 0.003552755905511811, 0.003552755905511811, 0.0031086614173228347, 0.0031086614173228347, 0.002664566929133858, 0.0022204724409448815, 0.0017763779527559054, 0.001332283464566929, 0.001332283464566929, 0.001332283464566929, 0.0008881889763779527, 0.0008881889763779527, 0.0004440944881889763, 0.0008881889763779527, 0.0004440944881889763, 0.0008881889763779527]";"";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 16:56:52";"";""
3;11;"KX";"learning";"";"";"";"";"21";"";"0.0373";"2";"";"";"100";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 16:58:25";"";""
4;11;"KX";"learning";"";"";"";"";"21";"";"0.0373";"2";"";"";"100";"1";"[0.02232125984251969, 0.0373, 0.02085275590551181, 0.014391338582677169, 0.02467086614173228, 0.013803937007874014, 0.016447244094488188, 0.015566141732283463, 0.014391338582677169, 0.011160629921259844, 0.014978740157480314, 0.011160629921259844, 0.012041732283464567, 0.012922834645669292, 0.018796850393700788, 0.01409763779527559, 0.020559055118110233, 0.01967795275590551, 0.017915748031496065, 0.02085275590551181, 0.012922834645669292, 0.007048818897637795, 0.008811023622047245, 0.010866929133858267, 0.01351023622047244, 0.01527244094488189, 0.010279527559055117, 0.012922834645669292, 0.016447244094488188, 0.009398425196850394, 0.010866929133858267, 0.014391338582677169]";"";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 16:59:46";"";""
5;11;"KX";"learning";"";"";"";"";"21";"";"0.0373";"2";"";"";"100";"1";"[0.02232125984251969, 0.0373, 0.02085275590551181, 0.014391338582677169, 0.02467086614173228, 0.013803937007874014, 0.016447244094488188, 0.015566141732283463, 0.014391338582677169, 0.011160629921259844, 0.014978740157480314, 0.011160629921259844, 0.012041732283464567, 0.012922834645669292, 0.018796850393700788, 0.01409763779527559, 0.020559055118110233, 0.01967795275590551, 0.017915748031496065, 0.02085275590551181, 0.012922834645669292, 0.007048818897637795, 0.008811023622047245, 0.010866929133858267, 0.01351023622047244, 0.01527244094488189, 0.010279527559055117, 0.012922834645669292, 0.016447244094488188, 0.009398425196850394, 0.010866929133858267, 0.014391338582677169]";"";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 17:07:20";"";""
6;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 17:13:07";"";""
7;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 17:15:59";"";""
8;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"42";"127";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 17:17:49";"";""
9;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"42";"127";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 17:20:09";"";""
10;11;"KX";"report";"7.1";"100";"95";"0";"19";"7";"0.0336";"84";"97.64";"180";"";"";"";"180";"42";"127";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;"2024-06-12 17:21:59";"";""
